sending_region,receiving_region,milliseconds
us-east5,us-west4,58.349
us-west4,us-east5,58.342
asia-southeast1,asia-northeast2,79.765
asia-northeast2,asia-southeast1,79.761
asia-south2,asia-northeast1,142.655
asia-northeast1,asia-south2,142.662
us-west1,us-east5,51.338
us-east5,us-west1,51.303
asia-east2,asia-northeast2,45.883
asia-northeast2,asia-east2,46.865
us-east5,us-west3,38.655
us-west3,us-east5,38.664
europe-north1,europe-central2,19.376
australia-southeast2,northamerica-northeast1,209.258
northamerica-northeast1,australia-southeast2,209.233
southamerica-east1,us-central1,137.515
us-central1,southamerica-east1,137.508
southamerica-east1,europe-north1,214.727
europe-north1,southamerica-east1,214.731
europe-west12,europe-north1,42.842
europe-north1,europe-west12,42.844
southamerica-east1,northamerica-northeast1,127.911
europe-west8,europe-southwest1,20.657
europe-southwest1,europe-west8,20.665
europe-west10,asia-east1,237.62
asia-east1,europe-west10,237.613
asia-northeast2,europe-west8,256.462
europe-west8,asia-northeast2,256.452
asia-southeast1,europe-west8,184.191
europe-west8,asia-southeast1,184.195
asia-southeast2,europe-west9,204.858
europe-west9,asia-southeast2,204.862
europe-west4,asia-east1,235.857
asia-east1,europe-west4,235.86
europe-west3,asia-northeast3,252.775
asia-northeast3,europe-west3,252.777
europe-west10,asia-northeast3,263.46
asia-northeast3,europe-west10,265.357
asia-southeast2,europe-southwest1,203.471
europe-southwest1,asia-southeast2,203.45
asia-northeast3,europe-west4,256.963
europe-west4,asia-northeast3,256.923
asia-south1,europe-north1,151.736
europe-north1,asia-south1,151.601
europe-west12,us-west3,135.075
us-west3,europe-west12,135.489
australia-southeast1,asia-south2,159.148
asia-south2,australia-southeast1,159.159
europe-west9,us-west4,137.094
us-west4,europe-west9,137.078
europe-west9,asia-south2,141.486
asia-south2,europe-west9,141.455
australia-southeast2,asia-northeast1,117.279
asia-northeast1,australia-southeast2,117.286
europe-west8,asia-northeast1,236.405
asia-northeast1,europe-west8,236.407
me-west1,europe-west9,49.288
europe-west9,me-west1,49.225
us-east5,asia-northeast1,138.478
asia-northeast1,us-east5,138.478
northamerica-northeast2,asia-northeast3,168.142
asia-northeast3,northamerica-northeast2,168.126
us-west1,europe-west2,125.881
europe-west2,us-west1,125.867
me-central1,asia-east1,140.871
asia-east1,me-central1,141.115
northamerica-northeast1,us-east4,14.029
us-east4,northamerica-northeast1,14.034
us-west2,northamerica-northeast1,70.427
northamerica-northeast1,us-west2,70.682
us-east1,europe-north1,111.827
europe-north1,us-east1,111.804
